Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,154.80999755859375,153.5399932861328,154.5,154.25,4202500.0,145.87525939941406
2018-01-03,159.80999755859375,156.3300018310547,157.33999633789062,158.49000549316406,9441600.0,149.88507080078125
2018-01-04,162.32000732421875,159.3699951171875,159.64999389648438,161.6999969482422,7556200.0,152.9207763671875
2018-01-05,162.89999389648438,161.10000610351562,162.44000244140625,162.49000549316406,5195800.0,153.6678924560547
2018-01-08,163.91000366210938,161.6999969482422,162.66000366210938,163.47000122070312,5237500.0,154.5946807861328
2018-01-09,164.52999877929688,163.05999755859375,163.89999389648438,163.8300018310547,4341800.0,154.9351348876953
2018-01-10,164.3300018310547,162.5,162.91000366210938,164.17999267578125,4174100.0,155.26612854003906
2018-01-11,164.94000244140625,163.3000030517578,164.8000030517578,164.1999969482422,3794500.0,155.28504943847656
2018-01-12,164.74000549316406,163.02999877929688,164.02000427246094,163.13999938964844,5031900.0,154.28257751464844
2018-01-16,165.2899932861328,163.35000610351562,165.10000610351562,163.85000610351562,7794200.0,154.9540557861328
2018-01-17,169.1300048828125,167.25999450683594,168.00999450683594,168.64999389648438,11630500.0,159.49342346191406
2018-01-18,171.1300048828125,168.14999389648438,170.0,169.1199951171875,14259300.0,159.93789672851562
2018-01-19,165.39999389648438,161.3000030517578,164.4600067138672,162.3699951171875,21172500.0,153.55438232421875
2018-01-22,163.97999572753906,161.11000061035156,161.50999450683594,162.60000610351562,8480800.0,153.77191162109375
2018-01-23,166.25999450683594,162.50999450683594,162.82000732421875,166.25,7466200.0,157.22373962402344
2018-01-24,168.72000122070312,164.82000732421875,166.75,165.3699951171875,5645000.0,156.39151000976562
2018-01-25,166.77999877929688,165.19000244140625,165.91000366210938,165.47000122070312,3302500.0,156.48606872558594
2018-01-26,167.41000366210938,165.7899932861328,166.1199951171875,167.33999633789062,3787900.0,158.2545623779297
2018-01-29,168.38999938964844,166.00999450683594,167.4499969482422,166.8000030517578,3517000.0,157.74386596679688
2018-01-30,166.77000427246094,163.16000366210938,166.2100067138672,163.6199951171875,4902300.0,154.7365264892578
2018-01-31,164.99000549316406,162.75999450683594,163.75,163.6999969482422,4072800.0,154.8121795654297
2018-02-01,164.1300048828125,161.89999389648438,163.19000244140625,162.39999389648438,4434200.0,153.582763671875
2018-02-02,162.0,158.8699951171875,161.6999969482422,159.02999877929688,5251900.0,150.39572143554688
2018-02-05,158.5,150.0,157.88999938964844,152.52999877929688,8746600.0,144.24864196777344
2018-02-06,155.49000549316406,149.11000061035156,150.2899932861328,155.33999633789062,9867700.0,146.90606689453125
2018-02-07,155.33999633789062,153.27999877929688,154.1699981689453,153.85000610351562,6149200.0,145.49697875976562
2018-02-08,153.16000366210938,147.5,152.47999572753906,147.58999633789062,6779100.0,140.95108032226562
2018-02-09,150.5399932861328,144.39999389648438,148.60000610351562,149.50999450683594,7828300.0,142.78472900390625
2018-02-12,152.39999389648438,150.3000030517578,150.89999389648438,151.39999389648438,5881400.0,144.58969116210938
2018-02-13,151.17999267578125,149.63999938964844,150.89999389648438,150.75,4891000.0,143.9689483642578
2018-02-14,155.0,150.0,150.19000244140625,154.75999450683594,5479000.0,147.79856872558594
2018-02-15,156.86000061035156,153.6999969482422,155.5,156.00999450683594,5623600.0,148.9923553466797
2018-02-16,157.7899932861328,155.69000244140625,155.7100067138672,156.17999267578125,4282900.0,149.15469360351562
2018-02-20,155.9600067138672,153.8699951171875,155.7899932861328,155.16000366210938,4489600.0,148.18057250976562
2018-02-21,156.7899932861328,153.89999389648438,155.42999267578125,153.9600067138672,3728600.0,147.03457641601562
2018-02-22,155.0399932861328,152.7899932861328,154.5,153.17999267578125,4024600.0,146.2896270751953
2018-02-23,155.85000610351562,154.07000732421875,154.3000030517578,155.52000427246094,3256100.0,148.52438354492188
2018-02-26,158.8800048828125,155.50999450683594,155.80999755859375,158.5800018310547,3610300.0,151.44674682617188
2018-02-27,159.77999877929688,156.52999877929688,158.4600067138672,156.5500030517578,4237300.0,149.508056640625
2018-02-28,158.13999938964844,155.8000030517578,157.5,155.8300018310547,3803500.0,148.8204345703125
2018-03-01,156.97000122070312,152.7899932861328,155.52999877929688,153.80999755859375,4039300.0,146.8912811279297
2018-03-02,154.75999450683594,151.8800048828125,152.7899932861328,154.49000549316406,3261100.0,147.5407257080078
2018-03-05,157.49000549316406,153.75,154.1199951171875,156.9499969482422,3670600.0,149.89004516601562
2018-03-06,157.88999938964844,155.16000366210938,157.27999877929688,155.72000122070312,3685700.0,148.7153778076172
2018-03-07,158.8300018310547,154.72999572753906,155.0,158.32000732421875,4607700.0,151.19845581054688
2018-03-08,159.57000732421875,155.07000732421875,159.0,156.2100067138672,6455600.0,149.183349609375
